,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
60,239835,85,0.349,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
61,213543,63,0.4,0.556,0.529,0.0,2,0.268,-4.464,1,0.025,89.887,4,0.308
62,259040,68,0.697,0.714,0.434,0.0,4,0.0919,-11.542,1,0.0396,123.942,4,0.352
63,211933,71,0.912,0.671,0.153,5.53e-05,0,0.0771,-13.569,1,0.0404,85.6,4,0.658
64,216773,82,0.185,0.673,0.886,0.0,1,0.0826,-4.44,0,0.0431,97.012,4,0.795
65,305746,0,0.172,0.209,0.412,0.15,0,0.0843,-9.733,1,0.0443,86.26,3,0.162
66,119133,84,0.469,0.872,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
67,342040,76,0.853,0.794,0.32,0.134,1,0.112,-12.92,0,0.173,174.088,4,0.241
68,213706,77,0.579,0.489,0.505,0.000333,10,0.104,-8.022,0,0.117,163.255,4,0.337
69,307879,80,0.599,0.577,0.749,0.0115,5,0.183,-7.215,0,0.0279,130.97,4,0.255
70,240706,76,0.945,0.621,0.31,6.12e-05,9,0.117,-10.164,0,0.0283,111.893,4,0.125
71,242946,80,0.559,0.703,0.444,0.0,11,0.0973,-9.331,1,0.0417,150.96,4,0.712
72,174266,45,0.541,0.365,0.277,2.87e-05,5,0.38,-12.262,0,0.0353,173.264,4,0.2
73,179080,80,0.72,0.498,0.235,0.0,1,0.144,-16.541,0,0.188,118.917,4,0.0895
74,253200,56,0.0952,0.599,0.471,0.0,11,0.0996,-6.806,1,0.0281,109.941,4,0.141
75,196077,81,0.978,0.367,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198
76,161612,77,0.441,0.422,0.25,0.0,0,0.35,-6.836,1,0.0351,124.026,4,0.246
77,236322,41,0.808,0.58,0.152,0.944,9,0.0785,-16.002,0,0.0333,129.996,4,0.0848
78,193733,81,0.389,0.391,0.335,0.0,0,0.102,-10.064,1,0.0763,174.185,3,0.116
79,228442,77,0.885,0.502,0.168,0.0,1,0.111,-14.061,1,0.0486,112.881,3,0.355
80,185863,71,0.0153,0.586,0.624,1.78e-06,5,0.133,-5.946,1,0.113,68.976,4,0.267
81,190605,72,0.183,0.476,0.686,0.0,1,0.0997,-5.019,0,0.11,152.617,4,0.243
82,250626,77,0.02,0.378,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735
83,239626,68,0.265,0.564,0.745,0.0,0,0.147,-7.733,1,0.31,170.661,4,0.351
84,134682,62,0.00953,0.441,0.561,0.00432,11,0.553,-6.017,0,0.0357,128.345,4,0.178
85,123891,70,0.796,0.671,0.275,0.000339,6,0.0657,-11.185,0,0.056,124.007,4,0.159
86,196400,80,0.0175,0.669,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
87,263373,82,0.241,0.749,0.925,0.0,10,0.52,-5.034,1,0.227,86.989,4,0.641
88,216393,40,0.0408,0.633,0.578,0.0135,9,0.149,-7.714,0,0.0681,121.951,4,0.291
89,173333,83,0.731,0.726,0.431,0.0,8,0.696,-8.765,0,0.135,144.026,4,0.348
90,263597,63,0.193,0.439,0.751,4.61e-05,9,0.0577,-7.632,1,0.0527,164.103,4,0.221
91,228093,76,0.858,0.328,0.622,0.0,5,0.104,-7.291,0,0.0866,74.267,4,0.401
92,194621,81,0.00336,0.65,0.613,0.0,9,0.267,-6.13,0,0.128,149.972,4,0.0804
93,231173,83,0.0188,0.743,0.752,0.0,4,0.287,-4.813,1,0.0414,110.015,4,0.545
94,260773,79,0.0722,0.383,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827
95,191306,66,0.131,0.504,0.498,0.0,0,0.0929,-8.24,1,0.0499,87.221,4,0.196
96,180480,75,0.11,0.66,0.867,0.0,6,0.0368,-4.285,0,0.116,93.033,4,0.377
97,212389,41,0.116,0.828,0.56,0.0,0,0.0778,-8.624,1,0.077,113.039,4,0.217
98,210960,63,0.0319,0.646,0.795,0.0,9,0.267,-3.293,1,0.0976,89.99,4,0.796
99,239000,78,0.102,0.259,0.437,1.32e-06,11,0.106,-6.589,0,0.0386,180.042,4,0.0951
